"","Echantillon","TMG","Ecart-type TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"260","B048",142.32,29.9008361087111,"3",8.25,1.875,6.375,7.5,7.5,7.5,10.5
"261","B049",155.875,26.0706606710702,"4",9.25,6.5,3,2.25,5.25,15.75,5.25
"262","B049",122.4,20.2175666191557,"4",4.5,3.75,6.75,3,4.5,3.75,3.75
"263","B050",169.434782608696,22.2829451435123,"2",10.5,6.75,5.25,2.5,2,3,7.5
"264","B050",143.318181818182,26.6715228262304,"2",18.75,3.75,3.75,6,7.5,17.25,15.75
"265","B051",150.652173913043,29.0150567427768,"2",4.75,3.5,7.5,7.5,10.5,31.5,8.5
"266","B052",174.521739130435,39.0382907194013,"4",10.5,12.75,3.75,9,31.5,13.5,4.5
"267","B052",151.090909090909,40.2230792443356,"4",7.5,2.5,3.5,4.5,10.5,52.5,21
"268","B053",153.125,18.7971147184649,"1",1.875,3,2.25,3,7.5,4.5,12
"269","B053",134.285714285714,29.5755690683085,"1",12.75,7.5,3.5,3.25,6.75,22.5,37.5
"270","B054",159.875,31.4079919211932,"3",4.5,3.5,2.5,6.5,2.5,7.5,10.5
"271","B054",137.75,29.8812868589662,"3",9.75,1.875,4.125,2.5,15.5,22.5,13.5
"272","B056",163.92,30.3958878797774,"1",19.5,4.875,2.625,8.625,1.875,13.5,15
"273","B056",141,23.1269786798264,"1",3.75,8.25,3.75,5.25,3.75,8.25,8.25
"274","B057",153.391304347826,28.8928099430145,"1",4.5,2.5,3.5,10.5,4.5,12.75,3.75
"275","B057",149.869565217391,30.1696782575819,"1",10.5,2.5,9.5,5.25,6.75,27.75,5.25
"276","B058",166,17.7566888805318,"3",3.75,5.25,3.25,6.5,10.5,6.75,8.25
"277","B058",152.75,31.5997385789957,"3",13.5,7.5,5.5,9.5,4.5,13.5,16.5
